city,state_abbr,state,county,lat,lng,building_count,city_description,metro,updated_at
"New Castle","DE","Delaware","New Castle",39.66433716,-75.56392670,1209,"","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","0000-00-00 00:00:00"
"Burlingame","CA","California","San Mateo",37.58420944,-122.36631012,1202,"Burlingame is a city in San Mateo County, is located on the San Francisco Peninsula and has a significant shoreline on San Francisco Bay. It is a small residential town, but has great access to the San Francisco Airport and Highways 101 and 280. It is just 20 minutes south of San Francisco and 25 minutes north of Palo Alto and this great access makes for a favorable business climate. Many businesses exist within town that serve the airport and travelers including the Marriott, Hyatt, and Sheraton as hotels and SkyChefs and Mills Peninsula Health Services. Companies who are looking in Burlingame also look in nearby cities such as San Mateo , Millbrae , and San Bruno. Retail space in Burlingame: Burlingame offer great shopping in its shopping districts around Broadway and Burlingame Avenue and Burlingame Plaza. A trolley connects retail spaces around Broadway and helps create a vibrant shopping district. Retail space in Burlingame is offered for sale and for lease and there are many local real estate brokers who have property listings for a company to view. You can quickly get a quote for a sublease or direct space by using Rofo. Retail can be found in several areas that feature retail spaces . Office space in Burlingame: Office space is prevalent throughout Burlingame and office complexes exist on the east side of town and near Burlingame's Auto Row. Burlingame offers a shuttle to BART and Caltrains that help create a great commute pattern for those business that decide to operate in Burlingame. The city of Burlingame is mainly home to professional services companies, but many options exist for office space exist across the city. Burlingame is attracting small office users to their downtown office space . Currently the downtown area offer office listings for lease and office listings for sale . Burlingame offers high rise office space , low rise office space , mixed use space and converted warehouse office space . Warehouse space in Burlingame: The City's industrial developments allow businesses from a start-up to a multi-national company find their space needs on a for sale or for lease basis. Industrial space is mainly found in the industrial areas along Rollins Road. Not many small warehouses exist in Burlingame but some can be found on Rofo.com . Burlingame has storage spaces , warehouse spaces , distribution spaces , and manufacturing spaces . Quick Market Stats: There's roughly 1,500,000 square feet of office space with a rough overall vacancy rate of 16%. The average asking rates for Class A office space is $4.50(fs) and Class B office space is $3.00(fs) per square foot per month. The warehouse space market is roughly 4,000,000 square feet and has an overall vacancy rate of just 7%. The average lease rate is $0.90 per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"La Fayette","GA","Georgia","Gordon",34.70524597,-85.28195190,1200,"","Calhoun, GA","0000-00-00 00:00:00"
"Youngsville","LA","Louisiana","Lafayette",30.10010719,-91.99049377,1200,"","Lafayette, LA","0000-00-00 00:00:00"
"Westland","MI","Michigan","Wayne",42.31005478,-83.37888336,1199,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Oshkosh","WI","Wisconsin","Winnebago",44.02244949,-88.54614258,1198,"","Oshkosh-Neenah, WI","0000-00-00 00:00:00"
"Redding","CA","California","Shasta",40.57228470,-122.37426758,1198,"Redding Just over an hour south of the Oregon/California border, Redding is located in the northern center of California near Shasta Lake. With around 110,000 residents, it is California's largest city north of Sacramento. It is surrounded by mountains to the north, east and west; and by fertile farm land to the south. Redding is a sprawling city and covers a wide area of land; it also experiences wet and foggy winters, while summer temperatures have been known to reach as high as 120 degrees. Office space in Redding : A number of office options for businesses in Redding can be found on Rofo.com. Spaces include low-rise, loft, and converted warehouse offices. Redding is a great place for businesses in Northern California away from the commotion of bigger cities such as Sacramento and San Francisco. Retail space in Redding : Redding is quite a popular place for retired people coming from the Bay Area, as well as tourists spending time at Lake Shasta. Therefore, it is a great place for retailers such as family restaurants, convenience stores and tourist shops. Many retail listings in Redding can be found on Rofo.com. Industrial space in Redding : Redding is not a very big industrial city, so it is hard to find large industrial listings in the area. Smaller warehouses can be found scattered throughout Redding and along the major thoroughfares. Local manufacturers and distributors can find space on Rofo.com. Companies looking for space in Redding also look in nearby Red Bluff .","Redding, CA","0000-00-00 00:00:00"
"Latham","NY","New York","Saratoga",42.74344254,-73.74675751,1197,"","Albany-Schenectady-Troy, NY","0000-00-00 00:00:00"
"Ridgeland","SC","South Carolina","Beaufort",32.48261261,-80.97943115,1194,"","Hilton Head Island-Bluffton-Port Royal, SC","0000-00-00 00:00:00"
"Midway","FL","Florida","Gadsden",30.50177383,-84.45600128,1192,"","Tallahassee, FL","0000-00-00 00:00:00"
"Lancaster","CA","California","Los Angeles",34.68937683,-118.13522339,1189,"","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Lancaster","NY","New York","Erie",42.90034485,-78.67041016,1189,"","Buffalo-Cheektowaga, NY","0000-00-00 00:00:00"
"Leesburg","FL","Florida","Sumter",28.79374886,-81.88774109,1186,"","Wildwood-The Villages, FL","0000-00-00 00:00:00"
"North Miami Beach","FL","Florida","Miami-Dade",25.92968369,-80.16825867,1186,"","Miami-Fort Lauderdale-West Palm Beach, FL","0000-00-00 00:00:00"
"Braselton","GA","Georgia","Barrow",34.10684204,-83.76988983,1184,"","Atlanta-Sandy Springs-Roswell, GA","0000-00-00 00:00:00"
"Midland","MI","Michigan","Bay",43.62612915,-84.22741699,1182,"","Bay City, MI","0000-00-00 00:00:00"
"Bakersfield","CA","California","Kern",35.37340546,-119.01891327,1180,"Bakersfield Located just off of I-5 between Los Angeles and San Francisco, Bakersfield lies at the southern end of the San Joaquin Valley and is the 11th largest city in California. It is considered one of the sunniest cities in the country and enjoys a warm climate for the majority of the year. Companies searching for space in Bakersfield also look in nearby Lancaster . Retail space in Bakersfield : With a large metropolitan area and many diverse neighborhoods, Bakersfield is a great place for a variety of different retail options. The most famous of Bakersfield's restaurants are Basque, and the city has a large music and theater district with an emphasis on country music. A number of open spaces are available for retail outlets, coffee shops, and boutiques. Office space in Bakersfield : There are many office space options throughout Bakersfield, with some neighborhoods dominating over others. The Stockdale district, which is home to the Stockdale Country Club, is mainly a middle-to-upper class neighborhood, with a number of offices and retail spaces. California Avenue runs through the Stockdale district and is considered a mini financial district. Industrial space in Bakersfield : In the early 2000's, several new buildings went up along Highway 99 near 7th Standard Road; it is now know as the Unicorn Business Park, within the Airport Industrial Park, and a number of industrial options are located within this area. Other warehouse options are scattered throughout Bakersfield, with the majority of them lying on the outskirts of the city.","Bakersfield-Delano, CA","0000-00-00 00:00:00"
"Albany","GA","Georgia","Dougherty",31.57688332,-84.17617035,1178,"","Albany, GA","0000-00-00 00:00:00"
"Bloomington","IL","Illinois","McLean",40.47403336,-88.98432922,1177,"","Bloomington, IL","0000-00-00 00:00:00"
"Odessa","TX","Texas","Midland",31.85984039,-102.37771606,1174,"","Midland, TX","0000-00-00 00:00:00"
"Winter Haven","FL","Florida","Polk",28.04391479,-81.71960449,1172,"","Lakeland-Winter Haven, FL","0000-00-00 00:00:00"
"Dublin","CA","California","Alameda",37.71512985,-121.91030884,1166,"The City of Dublin is located less than an hour from both Silicon Valley and San Francisco, the City of Dublin is poised to be a perfect location for businesses of all sizes. Why do businesses choose Dublin? Because Dublin is one of the few places in the Bay Area with prime locations , available land for development, and a forward-thinking government. It is a powerful combination for those seeking not only a great location, but a place that attracts an intelligent and diverse work force. It offers a diverse mix of retail space , industrial space , flex space , and office space options throughout several parts of the city for a companies commercial real estate needs. Companies who look in Dublin also look in nearby cities such as San Ramon , Livermore , and Pleasanton. Retail space in Dublin: The City of Dublin has several retail areas located throughout the community that attract both local and regional shoppers. The community has over 3.65 million square feet of retail development , with major retail centers including Hacienda Crossings, Waterford Place, and the Dublin Place Shopping Center. The City is also home to several automobile dealers, and numerous small businesses that make up the fabric of our community. Office space in Dublin: The City of Dublin has office developments to meet every need, with additional land available for Class A office development. The City has over 2.7 million square feet of office space and has quickly become a business center as firms such as Sybase, AT&T Communications, Franklin Technologies, Avaya Communications, and MicroDental Laboratories have our business address. Dublin offers many attractive options for East Bay residents who are looking for a new site for their office or commercial space . Dublin can be accessed by both BART and bus and employees working in Dublin find it to be a very convenient location. Dublin offers high rise office space , low rise office space , lofts , and converted warehouse office space . Warehouse space in Dublin: The City's industrial developments allow businesses from a start-up to a multi-national company find their space needs among the 2.2 million square feet of development. Additional land has been designated for industrial development on the City's eastern boundaries. Many small warehouses exist in Dublin and can be found conveniently on the eastern boundaries. Dublin offers great freeway access and close proximity to the Central Valley which helps businesses justify locating their commercial real estate within Dublin. Hayward's central location offers warehouse space near Interstate 680, & 580. Dublin has storage spaces , warehouse spaces , distribution spaces , and manufacturing spaces . Quick Market Stats: There's roughly 2,000,000 square feet of office space with a rough overall vacancy rate of 17%. The average asking rates for Class A office space is $2.50(fs) and Class B office space is $2.00(fs) per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Newark","DE","Delaware","New Castle",39.67748642,-75.75356293,1166,"","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","0000-00-00 00:00:00"
"Fairfield","CA","California","Solano",38.27316666,-122.03395081,1159,"Fairfield: Fairfield is home to a variety of major industries types and has attracted some impressive companies. The key benefits described in this section have proved the perfect match for many companies in the following industries: back office , food and beverage, biotechnology, and medical supplies. Fairfield has an enviably diversified economy, with robust government, manufacturing, health care, retail, professional and commercial construction sectors. This diversity offers many commercial real estate and commercial listings , as well as commercial office space and industrial properties. It is approximately 40 miles from both San Francisco and Sacramento, approximately 30 miles from Oakland, and less than 10 miles from Napa Valley. Companies who look for spaces in Fairfield also search in these neighboring cities: American Canyon , Benicia , and Vallejo. Retail space : Approximately 17 acres are available for retail commercial development at the intersection of I-80, Suisun Valley Road and Mangels Boulevard. The commercial property has excellent visibility from Interstate 80. Retail shopping areas include the Westfield Shopping Mall and Green Valley Crossing Neighborhood Shopping Center. These centers offer many small retail property and commercial leases . Office space : The Fairfield workforce is a dynamic, young population of 49,000 men and women with more than 1.1 million workers available within a 30-mile radius. The focus of available commercial office space and office space for lease are found in business and office parks located north of Interstate 80. This is home to Class A office space and large campus style commercial office space contained within Green Valley Technical Plaza, Green Valley Office Park, Green Valley Corporate Park, Fairfield Corporate Commons and Cordelia Villages. These business parks offer many office space listings and commercial office space properties. Anheusur-Busch operates a large Budweiser brewery facility, Clorox produces bleach products here and the Jelly Belly Company confects its specialty jelly beans here. Warehouse space : Fairfield's highway infrastructure makes transportation easy. Interstate 80 passes through Fairfield where it intersects with Interstate 680. Twelve miles east of Fairfield is Interstate 505, which connects with Interstate 5. The Cordelia Project Area, a development on the south side of I-80, is primarily comprised of large warehouse , distribution facilities , smaller flex industrial property , and mixed use warehouse spaces .","Vallejo, CA","0000-00-00 00:00:00"
"Fort Smith","AR","Arkansas","Crawford",35.38482285,-94.42163086,1158,"","Fort Smith, AR-OK","0000-00-00 00:00:00"
"Dover","NH","New Hampshire","Rockingham",43.18872452,-70.88612366,1156,"","Boston-Cambridge-Newton, MA-NH","0000-00-00 00:00:00"
"Albany","CA","California","San Francisco",37.89027023,-122.29899597,1155,"Albany: Albany combines a small-town ambience with its central location in a major metropolitan area. Albany is part of a large regional retail market including Berkeley , Kensington and El Cerrito . Located at the juncture of Interstates 80 and 580, the City is traversed by major surface arteries connecting Alameda and Contra Costa counties. Albany 's public transportation access includes regional bus system service and a Bay Area Rapid Transit (BART) station on its northern border. Oakland International Airport is less than a half-hour away. Typical of a small-town "" Main Street ,"" Solano Avenue is a strong regional attraction and is visited by thousands of shoppers and strollers each year. The City of Albany is committed to serving business with lower development fees than surrounding cities and a friendly can-do attitude towards commercial improvement. Companies looking in Albany also look in nearby cities such as: Berkeley , El Cerrito , and Emeryville . Retail space: With a level of taxable sales per resident lower than most East Bay cities, Albany is a prime target for enterprising businesses looking for commercial real estate . The involvement of residents in the development of Solano and San Pablo Avenues indicates strong local interest in better access to shops and services. With high incomes comparable to those found elsewhere in the East Bay , Albany residents comprise a potentially lucrative retail market . San Pablo Avenue is a well-traveled boulevard of medium sized storefronts with high traffic counts, serving as great commercial properties . Office space : Albany offers many attractive options for East Bay or North Bay residents who are looking for a new site for their office space or commercial office space . Accessible by the regional bus system service and by BART, Albany offers plenty of room for commercial real estate use. Warehouse space : Eastshore Highway and Cleveland Avenues provide high visibility warehouse locations along Interstate 80 and 580. Larger scale retail , light manufacturing and warehousing are currently accommodated in this area, away from residential neighborhoods, and there is ample opportunity for intensive warehouse real estate use.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Simi Valley","CA","California","Los Angeles",34.27269745,-118.74385834,1152,"Simi Valley Lying in the southeast corner of Ventura County, Simi Valley lies in a valley of the same name and has a population of around 130,000. It repeatedly appears on the lists of the safest cities in the US, and is largely a residential community with many inhabitants commuting to nearby cities or Los Angeles for work. Office space in Simi Valley : A number of office spaces can be found in Simi Valley. Most options are low-rise and converted warehouses, but there are also some loft and high-rise options as well. It is a great place for smaller businesses, and many larger corporations are located nearby. Retail space in Simi Valley : Because Simi Valley is mainly a commuter town, retail is very important. Convenience stores, super markets, cafes and family restaurants will do well in Simi Valley; as well as larger clothing retailers and movie theaters. Industrial space in Simi Valley : There are two main areas of Simi Valley that are mostly industrial. They are located in the eastern and western parts of the city. The biggest manufacturers include machinery and tools, metals, minerals and food products. Warehouses of all sizes can be found in these areas. Businesses looking for space in Simi Valley also search in Moorpark , Thousand Oaks , Glendale and Los Angeles .","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Cambridge","MD","Maryland","Dorchester",38.56327820,-76.07855988,1150,"","Cambridge, MD","0000-00-00 00:00:00"
"Southlake","TX","Texas","Tarrant",32.94787598,-97.15100861,1146,"","Dallas-Fort Worth-Arlington, TX","0000-00-00 00:00:00"
"Cookeville","TN","Tennessee","White",36.15398788,-85.50787354,1144,"","Cookeville, TN","0000-00-00 00:00:00"
"East Syracuse","NY","New York","Onondaga",43.06106949,-76.06607056,1143,"","Syracuse, NY","0000-00-00 00:00:00"
"Royal Oak","MI","Michigan","Oakland",42.49935150,-83.14475250,1141,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Dalton","GA","Georgia","Murray",34.76861954,-84.97168732,1140,"","Dalton, GA","0000-00-00 00:00:00"
"Madison","MS","Mississippi","Madison",32.45763779,-90.10649109,1140,"","Jackson, MS","0000-00-00 00:00:00"
"North Tonawanda","NY","New York","Erie",43.04545975,-78.86537933,1140,"","Buffalo-Cheektowaga, NY","0000-00-00 00:00:00"
"Pasadena","TX","Texas","Harris",29.68142700,-95.16411591,1140,"","Houston-Pasadena-The Woodlands, TX","0000-00-00 00:00:00"
"Palm City","FL","Florida","St. Lucie",27.16112137,-80.26940155,1136,"Palm City, FL, is experiencing a dynamic shift in its commercial real estate landscape, particularly in the office leasing segment. Vacancy rates have stabilized around 6 percent, reflecting a growing demand as businesses look to secure flexible work environments. Recent trends indicate that small firms are favoring shorter lease terms, driven by the evolving nature of work and the desire to mitigate longterm commitments. The rise of coworking spaces has been a significant factor, providing small businesses with affordable, flexible office solutions and fostering collaborative environments. This trend also suggests a shift towards more adaptive uses of commercial spaces, accommodating diverse business needs. For small businesses seeking office space in Palm City, focusing on locations that offer coworking amenities and flexibility can be crucial. Moreover, understanding the local market dynamics such as the increasing interest from remote workers and tech startups can provide strategic advantages in securing optimal office solutions.","Port St. Lucie, FL","2025-02-07 15:35:41"
"Rogersville","MO","Missouri","Greene",37.11782837,-93.06018829,1134,"","Springfield, MO","0000-00-00 00:00:00"
"Upland","CA","California","Los Angeles",34.10691452,-117.65134430,1134,"Upland With a population of just over 70,000 Upland is a city east of Los Angeles in San Bernardino County. It was originally an irrigation colony based on agriculture, and some remnants of those times still remain today. Office space in Upland : There are a number of options for businesses looking for office space in Upland. Many high-rise and loft spaces are centrally located in the downtown area, with other low-rise and converted warehouse options scattered throughout the city's districts. Retail space in Upland : A great range of retail space can be found in Upland, and many businesses from family restaurants to bookstores and cafes can find a space that is right for them. Small and large retail spaces can be found on Rofo.com. Industrial space in Upland : Upland is home to many smaller warehouses, as well as a few large industrial spaces. A long time agriculturally based city, many distributors and manufacturers will be able to find a space that fits their needs. Businesses looking for space in Upland also search in nearby Rancho Cucamonga , Pomona , Ontario and San Bernardino .","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Hephzibah","GA","Georgia","Burke",33.28984451,-82.10450745,1130,"","Augusta-Richmond County, GA-SC","0000-00-00 00:00:00"
"Londonderry","NH","New Hampshire","Rockingham",42.84997940,-71.36359406,1130,"","Boston-Cambridge-Newton, MA-NH","0000-00-00 00:00:00"
"Lawrenceville","GA","Georgia","Gwinnett",33.95047760,-83.98979950,1128,"","Atlanta-Sandy Springs-Roswell, GA","0000-00-00 00:00:00"
"Plantation","FL","Florida","Sarasota",26.12758636,-80.23310089,1126,"Plantation Plantation is a city in the South Florida metropolitan area with around 85,000 residents. Its motto is ""the Grass is Greener."" The Americas world headquarters for DHL is located in Plantation, and the city is also home to a number of universities. Plantation Midtown is the main urban center for the city, and $350 million has been put into the project hoping to turn Plantation into a regional destination. The area will be turned into a mixed-use space, with not only condominiums and apartments, but offices and retail spaces as well. Office space in Plantation : Plantation is an up-and-coming suburb of Fort Lauderdale, with a variety of office space of its own to offer. Low-rise, loft, townhouse and converted warehouse office spaces can be found downtown and in business parks throughout the city. Shared and private options are available for lease, sublease or purchase. Companies thinking about finding office space in Plantation can find available options listed on Rofo.com. Retail space in Plantation : With the Plantation Midtown area developing, there are lots of exciting retail options in Plantation. Small to large buildings can be found that would be suitable for restaurants, clothing stores, thrift shops, toy stores, caf&eacute;s and coffee shops. Plantation is a thriving suburb with lots to offer, and is dedicated to seeing its businesses succeed. Industrial space in Plantation : Plantation has a number of industrial business parks where companies will have luck finding warehouse space that fits their needs. Larger industrial spaces can also be found in stand-alone buildings. Many regional distributors, storage centers and manufacturers have warehouse space in Plantation. Local agents would be happy to show interested parties around to available options. Companies searching for space in Plantation also look in Fort Lauderdale , Davie , Lauderhill , Pembroke Pines , Hollywood , Sunrise , Coral Springs and Pompano Beach .","North Port-Bradenton-Sarasota, FL","0000-00-00 00:00:00"
"Elkridge","MD","Maryland","Baltimore",39.20471573,-76.75315857,1125,"","Baltimore-Columbia-Towson, MD","0000-00-00 00:00:00"
"Fenton","MI","Michigan","Livingston",42.79849243,-83.71490479,1125,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Bethlehem","PA","Pennsylvania","Lehigh",40.62198257,-75.36019897,1122,"","Allentown-Bethlehem-Easton, PA-NJ","0000-00-00 00:00:00"
"Midland","TX","Texas","Midland",31.99803734,-102.10627747,1122,"","Midland, TX","0000-00-00 00:00:00"
"Arlington","VA","Virginia","Arlington",38.88158035,-77.10334015,1112,"Arlington Arlington is a Virginia suburb of Washington D.C. with around 210,000 residents. The city is located at the crossing of the Custis and George Washington Memorial Parkways. Directly across the Potomac River from Washington D.C., Arlington itself was once part of the Disctrict before it was retroceded to Virginia in 1846. Technically, Arlington is a county and not a city, and the smallest self-governing county in the country, at 26 square miles. Arlington is the site of the Pentagon, and was recognized as the most educated city in 2006, with over 35% of residents holding a graduate degree. Arlington has consistently had the lowest unemployment rate of any jurisdiction in Virginia. The Rosslyn-Ballston corridor is a main business office corridor for the city, and 60% of office space in that area is leased to government-related agencies and contractors. Office space in Arlington : Arlington has strong ties with neighboring Washington D.C., and many of the business conducted in the area is related to government and politics. The Rosslyn-Ballston corridor is a main area in the city for office space, whether it is in high-rise, low-rise or converted warehouse buildings. Other business parks can be found throughout the city and are great for companies in research and development fields as well. Local agents would be happy to show interested parties around to available spaces. Retail space in Arlington : There are a number of shopping malls and shopping districts throughout the city of Arlington. Local, regional and national retail companies can find space that fit their needs along many of the city's major commercial thoroughfares. Restaurants, caf&eacute;s, bookstores, clothing shops, delis, grocery stores and gyms are a few of the many ideas for people looking to start a business in Arlington. All available retail space in the area can be found listed on Rofo.com. Industrial space in Arlington : Arlington County is full of available industrial space of all sizes. Easily accessible, Arlington is a favorite of distributors and manufacturers in the greater D.C. area. Warehouse space suitable for a variety of functions can be found throughout Arlington and along the major arteries of the city. Companies searching for space in Arlington also look in McLean , Jefferson , Annandale , Alexandria , Bethesda, Maryland and Washington, D.C .","Washington-Arlington-Alexandria, DC-VA-MD-WV","0000-00-00 00:00:00"
"Boca Raton","FL","Florida","Palm Beach",26.36748123,-80.11472321,1106,"About Boca Raton Commercial Real Estate: If you're looking for commercial real estate for sale or lease in The City for All Seasons, you've come to the right place. Simply referred to as ""Boca"" by locals, it is the southernmost city in Palm Beach County. Best known for its tony neighborhoods and gorgeous yachts cruising the harbor, Palm Beach also has a thriving business community with Office Depot's global headquarters based here as is Cancer Treatment Centers of America, ADT and Evert Tennis Academy to name a few. Companies flock to Florida and Boca Raton in particular for the favorable tax environment but also for the beautiful and healthy lifestyle. Boca boasts five (5) miles of beaches, dozens of parks and five (5) universities including Florida Atlantic University. Buy or rent the perfect commercial real estate space for you in Boca Raton, FL. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Boca Raton brokers and landlords that can meet your exact needs.","Miami-Fort Lauderdale-West Palm Beach, FL","2020-04-06 17:32:47"
"Mission","TX","Texas","Hidalgo",26.21474648,-98.32588959,1099,"","McAllen-Edinburg-Mission, TX","0000-00-00 00:00:00"
"Cleveland","TN","Tennessee","Bradley",35.18274307,-84.87313080,1097,"","Cleveland, TN","0000-00-00 00:00:00"
"Trenton","MI","Michigan","Wayne",42.14129257,-83.19042969,1097,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Williamsburg","VA","Virginia","York",37.27069855,-76.70741272,1095,"","Virginia Beach-Chesapeake-Norfolk, VA-NC","0000-00-00 00:00:00"
"Lewis Center","OH","Ohio","Delaware",40.19841385,-83.01008606,1092,"","Columbus, OH","0000-00-00 00:00:00"
"Pontiac","MI","Michigan","Oakland",42.63882065,-83.29264832,1092,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Colton","CA","California","San Bernardino",34.05624771,-117.32904053,1088,"","Riverside-San Bernardino-Ontario, CA","0000-00-00 00:00:00"
"Apopka","FL","Florida","Orange",28.68429947,-81.53055573,1086,"","Orlando-Kissimmee-Sanford, FL","0000-00-00 00:00:00"
"Costa Mesa","CA","California","Orange",33.65252686,-117.91899872,1086,"","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Elizabeth","NJ","New Jersey","Union",40.66535568,-74.21474457,1086,"","New York-Newark-Jersey City, NY-NJ","0000-00-00 00:00:00"
"Mart","TX","Texas","Limestone",31.54243660,-96.83355713,1086,"","N,"0000-00-00 00:00:00"
"Lafayette","IN","Indiana","Tippecanoe",40.40483856,-86.86342621,1085,"","Lafayette-West Lafayette, IN","0000-00-00 00:00:00"
"Middleburg","FL","Florida","Clay",30.05459976,-81.90113068,1084,"","Jacksonville, FL","0000-00-00 00:00:00"
"Portage","IN","Indiana","Lake",41.58421326,-87.18325043,1084,"","Chicago-Naperville-Elgin, IL-IN","0000-00-00 00:00:00"
"Garland","TX","Texas","Rockwall",32.90886688,-96.63088989,1080,"","Dallas-Fort Worth-Arlington, TX","0000-00-00 00:00:00"
"Fort Walton Beach","FL","Florida","Okaloosa",30.41991425,-86.62167358,1078,"","Crestview-Fort Walton Beach-Destin, FL","0000-00-00 00:00:00"
"Maryville","TN","Tennessee","Blount",35.75122070,-83.97614288,1077,"","Knoxville, TN","0000-00-00 00:00:00"
"Texas City","TX","Texas","Galveston",29.40801620,-94.96965790,1076,"","Houston-Pasadena-The Woodlands, TX","0000-00-00 00:00:00"
"College Station","TX","Texas","Brazos",30.61703873,-96.34678650,1072,"","College Station-Bryan, TX","0000-00-00 00:00:00"
"Sweetwater","TN","Tennessee","Loudon",35.59737396,-84.46485901,1071,"","Knoxville, TN","0000-00-00 00:00:00"
"Agoura Hills","CA","California","Los Angeles",34.14614868,-118.76126862,1064,"","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Salinas","CA","California","San Benito",36.67758560,-121.65596771,1064,"Salinas: Salinas is located on the Central California Coast and is known as the ""Salad Bowl of the World."" This central location has lead to many available commercial real estate and commercial listings . Salinas has over 150,000 residents, surrounded by agriculture on all sides, with the El Gabilan Mountains overlooking the City from the east. A mere 12 miles from the Pacific Ocean and Monterey Bay, Salinas serves as the county seat of Monterey County where agriculture is a $2.2 billion-dollar industry. These features attract many businesses to find commercial real estate and commercial listings, as well as commercial office space and industrial properties. Salinas is committed to preserving agriculture as our major industry and maintaining our community's high quality of life. Over 80% of the lettuce grown in the United States is grown in the Salinas Valley. These businesses have found it an advantage to find commercial listings in Salinas. Companies who look for spaces in Salinas also search in these neighboring cities: Carmel and Pacific Grove. Office space : Salinas Municipal Airport is located on the southeastern boundary of the City of Salinas, three miles from city center. This proximity is attractive for businesses to base their office space in Salinas through finding commercial office space listings . The Salinas Jet Center would include a national chain hotel, 80,000 square feet (7,000 m&sup2;) of office space, four large complexes combining more offices with airplane hangars and a 24-hour, full-service plane-fueling station. The convenient means of transportation is an advantage for businesses that are looking for commercial office space as well as office space property . Amtrak, the national passenger rail system, serves Salinas, operating its Coast Starlight daily in each direction between Seattle, Washington and Los Angeles. Because of this easy access to other cities, businesses find it advantageous to locate their commercial real estate or office space in this city. Local high-qualified labor force comes from Hartnell Community College and California State University Monterey Bay, in nearby Marina, CA. Many companies like to locate in Salinas because of its proximity to a very educated work force. Many businesses find Rofo to be a great solution to find office space in Salinas. Retail space : Salinas, California features Oldtown Salinas, a Main Street shopping district that spans several blocks, ending directly in front of the Steinbeck Center. These shopping centers have significant amounts of small retail spaces that are perfect for small shops and restaurants. Many of the shops, boutiques, restaurants, banks and service businesses in ""The Heart of the Valley"" that banners proclaim, are located in buildings dating to the early 1900's. In this Valley, many commercial real estate and commercial properties can be found as well. These centers offer many small retail property and commercial leases . These features attract many businesses to find commercial real estate and commercial listings, as well as commercial space for lease . Nothridge is an enclosed shopping mall, with all stores on one level. Three department stores and over 60 specialty shops are located in the mall. Salinas attracts many residents from surrounding towns and makes it a great location to start a retail business. This retail space is very easy to find using Rofo . Warehouse space : Many industrial companies find it convenient to locate their business along Highway 101 and Highway 68 as it is a major trucking route that can easily access Monterey Bay and Watsonville. This easy access to the these highways gives another reason to find warehouse space or industrial space listings in Salinas.","San Jose-Sunnyvale-Santa Clara, CA","0000-00-00 00:00:00"
"Fort Mill","SC","South Carolina","Lancaster",35.00729370,-80.94539642,1062,"","Charlotte-Concord-Gastonia, NC-SC","0000-00-00 00:00:00"
"Thousand Oaks","CA","California","Los Angeles",34.19978333,-118.86858368,1062,"Thousand Oaks Recently named one of Money Magazine's best places to live, Thousand Oaks is in the northwestern part of the Greater Los Angeles area. A planned community, Thousand Oaks has around 130,000 residents. In terms of crime, it is one of the safest larger cities in the nation. Office space in Thousand Oaks : Many small businesses call Thousand Oaks their home, including biotechnology, automotive and telecommunications. Options for offices range from low-rise and converted warehouse spaces to high-rise and loft spaces. Retail space in Thousand Oaks : As a suburb of Los Angeles, there are many options for family oriented retail, from bookstores to casual restaurants and sporting good stores. Smaller clothing boutiques and cafes can find space near the downtown area. Industrial space in Thousand Oaks : Along highways 101 and 23 is where many businesses can find warehouse space in Thousand Oaks. It's proximity to Los Angeles makes it a great place for manufacturers, and warehouses of all sizes can be found. Businesses searching for space in Thousand Oaks also look in nearby Los Angeles , Simi Valley and Oxnard .","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
